note,category
Prognostic factors in the treatment of alopecia areata with diphenylcyclopropenone.,general pathological conditions
Dynamic association between artery shear flow condition and platelet cytosolic free Ca2+ concentration in human hypertension.,cardiovascular diseases
Continent ileocolonic urinary reservoirs for filling and lining the post-exenteration pelvis.,neoplasms
Response rates in relapsed Wilms' tumor. A need for new effective agents.,neoplasms
Induction of inflammatory cell infiltration and necrosis in normal mouse skin by the combined treatment of tumor necrosis factor and lithium chloride.,general pathological conditions
Absorption and motility of the bypassed human ileum.,digestive system diseases
Temporal bone: three-dimensional CT. Part II. Pathologic alterations.,general pathological conditions
"Comparative studies of DU-PAN-2, CEA, and CA19-9 in pancreatic and biliary tract diseases.",digestive system diseases
Lower extremity weakness as the initial manifestation of lung cancer.,neoplasms
Circulating heart-reactive antibodies in patients with myocarditis or cardiomyopathy.,cardiovascular diseases
