note,category
Cor triatriatum: clinical presentation and surgical results in 12 patients.,cardiovascular diseases
High or low hepaticojejunostomy for bile duct strictures?,digestive system diseases
Trends in thirty years of vaginal hysterectomy.,general pathological conditions
Similar frequencies of renin gene restriction fragment length polymorphisms in hypertensive and normotensive subjects.,cardiovascular diseases
Cerebral glucose utilization during sleep in Landau-Kleffner syndrome: a PET study.,nervous system diseases
Collateral circulation in Kawasaki disease with coronary occlusion or severe stenosis.,cardiovascular diseases
Widespread functional effects of discrete thalamic infarction.,nervous system diseases
Alcoholics and liver transplantation.,digestive system diseases
Felodipine in the treatment of hypertensive type II diabetics: effect on glucose homeostasis.,cardiovascular diseases
Mechanisms of gallstone formation in women.,digestive system diseases
