note,category
Relation of cardiac output at rest and during exercise to age in essential hypertension.,cardiovascular diseases
Embolism of cerebral tissue: a cause of coagulopathy and cerebral infarction?,nervous system diseases
Preoperative cell-mediated immune function and the prognosis of patients with gastric carcinoma.,neoplasms
An immunofluorescence study of cerebral malaria.,nervous system diseases
"Identification, prevention, and treatment of silicone oil pupillary block after an inferior iridectomy.",general pathological conditions
Treatment of intractable arterial hemorrhage during stereotactic brain biopsy with thrombin.,nervous system diseases
The contribution of routine follow-up mammography to an early detection of asynchronous contralateral breast cancer.,neoplasms
Effect of indecainide in patients with left ventricular dysfunction.,cardiovascular diseases
The addition of doxazosin to the treatment regimen of patients with hypertension not adequately controlled by beta-blockers.,cardiovascular diseases
Vigabatrin: rational treatment for chronic epilepsy.,nervous system diseases
