,condition_label,medical_abstract
0,4,"Future directions in vasodilator therapy for heart failure. Vasodilator therapy has become a major pharmacologic approach for improving left ventricular function, and consequently, vasodilator drugs are being used increasingly in the treatment of heart failure. Ideally, vasodilator drugs used in the long-term management of heart failure should show clearly defined pharmacodynamic effects. These include reduced impedance to left ventricular ejection, increased venous capacitance, increased left ventricular ejection fraction and reduced heart size, absence of neurohormonal stimulation, and slowed progression of left ventricular dysfunction. The mechanisms of action and sites of activity of the various vasodilator drugs currently available vary considerably, and none as yet has proved ideal for the treatment of heart failure or hypertension. The complexity surrounding the multiple vasoconstrictor mechanisms involved in heart failure has led to a rationale for combined vasodilator therapy and certain combinations are discussed. From a therapeutic standpoint, the development of drugs with multiple mechanisms of action is particularly attractive. Flosequinan is a new vasodilator agent whose cellular mechanism of action remains uncertain. Flosequinan has the advantage of being able to relax both arterial and venous beds and as such may be particularly beneficial in the treatment of heart failure. "
1,2,"The auditory P300 event-related potential: an objective marker of the encephalopathy of chronic liver disease. Recently many variants of electroencephalogram-evoked responses have been studied as potential diagnostic aids in the detection and evaluation of hepatic encephalopathy. This study assesses the value of the auditory P300 event-related potential--a slow component of the auditory evoked response--as a tool in this field. Twenty-one nonencephalopathic and 12 encephalopathic (grade 1/2) cirrhotic patients and 26 controls were assessed clinically and psychometrically. Electroencephalogram spectral analysis and visual evoked response recordings were also conducted. An auditory P300 wave was elicited using the standard two-tone discrimination paradigm. The latency and amplitude of this wave were measured. The latency of the P300 was found to be significantly increased in the encephalopathic patients compared with both nonencephalopathic cirrhotic and control groups (p less than 0.05). Amplitude of the wave was decreased in both nonencephalopathic and encephalopathic patients, but this was not statistically significant. This study suggests that the latency of the P300 is a good marker of grades 1 and 2 clinical hepatic encephalopathy. The delays in the P300 latency may indicate that encephalopathic patients have a deterioration of their stimulus evaluation abilities. "
2,3,"Multidisciplinary baseline assessment of homosexual men with and without human immunodeficiency virus infection. III. Neurologic and neuropsychological findings. We explored the possibility that neurologic and neuropsychological changes constitute the earliest detectable manifestations of human immunodeficiency virus (HIV) infection. Without knowledge of HIV status, we assessed neurologic signs and symptoms and administered a battery of neuropsychological tests to 208 homosexual men, of whom 84 were HIV negative, 49 were HIV positive and asymptomatic, 29 were mildly symptomatic, and 46 had significant medical symptoms but not the acquired immunodeficiency syndrome. There was no difference between the HIV-negative and HIV-positive men in the frequency of neurologic signs or of defective or borderline performance on any neuropsychological test. However, HIV-positive men performed slightly but significantly worse than HIV-negative men on tests of verbal memory, executive function, and language. Similar results were obtained when comparisons were limited to HIV-positive medically asymptomatic and HIV-negative men. There was no degradation of neurologic status or neuropsychological performance across stages of HIV severity, but neurologic and neuropsychological summary scores correlated with CD4/CD8 ratios in the HIV-positive group. Ratings of neurologic signs and symptoms correlated with neuropsychological summary scores in the HIV-positive group only. Cognitive complaints were more frequent in the HIV-positive men; they correlated with actual test performance in the HIV-positive but not HIV-negative men. The constellation of subjective and objective neuropsychological and neurologic findings suggests the possibility of a definable syndrome associated with HIV infection in asymptomatic individuals. "
3,2,"Anal sphincter function after intersphincteric resection and stapled ileal pouch-anal anastomosis. This study was done to determine the effect of the direct ileal pouch-anal anastomosis upon pressure and sensory components of the anal canal and ileal pouch. These findings were related to postoperative continence. Thirty-three patients with ileal pouch-anal anastomosis (25 continent, eight with episodic minor incontinence) were studied 3 +/- 0.3 and 25 +/- 5 months after ileostomy takedown. The maximum resting pressure in the anal canal was significantly lower in patients with an imperfect result (35 +/- 5 mm Hg) than in continent patients (44 +/- 5 mm Hg) (P less than 0.05). Postoperatively the maximum squeeze anal pressure was slightly greater in continent than in incontinent patients (99 +/- 8 mm Hg vs. 87 +/- 7 mm Hg) (P greater than 0.05). The postoperative recto-(ileo-)anal inhibitory reflex was present in 27 percent. The linear correlation between strength of rectal (ileal) distension and depth resp. duration of internal sphincter relaxation as preoperatively observed disappeared postoperatively in every group of patients. Simultaneous measurements of pouch and anal pressure in patients with imperfect results revealed a reduced positive pouch anal pressure gradient compared to the continent group. This low pouch-anal pressure gradient is thought to be responsible for the increased incidence of soiling in some of our patients. "
4,2,Recurrence of Crohn's disease after resection. Recurrent Crohn's disease develops in most patients after surgical resection if the patient is followed for sufficient time. This review examines various aspects of recurrent Crohn's disease. It is concluded that Crohn's disease is a diffuse condition of the gastrointestinal tract and that radical resection of Crohn's disease does not prevent recurrence. Assorted factors thought to be associated with recurrence are examined and the relevance of these factors to the surgeon treating Crohn's disease is discussed. 
5,1,"Ultrasound and ultrasound-guided fine needle aspiration biopsy of supraclavicular lymph nodes in patients with esophageal carcinoma. The use of ultrasound combined with ultrasound-guided fine-needle aspiration biopsy (UGFAB) of supraclavicular lymph nodes in the pretreatment staging of 37 patients with squamous cell carcinoma of the esophagus is described. All patients underwent computed tomography (CT) scans of the chest and the abdomen and ultrasound of the abdomen and supraclavicular regions. Supraclavicular lymph node metastases (Stage IV disease according to the tumor nodes metastasis [TNM] classification) were cytologically diagnosed in seven (18.9%) of the 37 patients. In two of these patients, no other metastases were found. In the other five patients, UGFAB replaced more invasive diagnostic procedures. Due to their superficial location, ultrasound and UGFAB of the supraclavicular lymph nodes was relatively simple to perform, and contributed to an improved staging of squamous cell carcinoma of the esophagus. "
6,1,"Structural and functional integrity of ovarian tumor tissue obtained by ultrasonic aspiration. For patients with ovarian epithelial cancer, survival increases when residual disease approaches zero after surgical removal of the tumor. A previous study using the Cavitron Ultrasonic Surgical Aspirator (CUSA) (Cavitron Lasersonic Corp., Stamford, CT) showed the successful removal of ovarian tumors from areas often considered unresectable: the diaphragm, spleen, stomach, and small bowel. However, the CUSA has not yet been approved by the Food and Drug Administration for gynecologic surgery except on an experimental basis. This study was designed to test whether ultrasonic irradiation produced by the CUSA caused alterations in cell structure or physiology of gynecologic tissue in adjacent areas. Paired tumor samples, unirradiated and irradiated, were obtained from ten patients, and portions were sent for pathologic structural evaluation and physiologic tissue culture evaluation. Histologic sections, stained with hematoxylin and eosin, showed that CUSA irradiation produced only minor tissue distortion as observed under the light microscope. A correct diagnosis would have been made in all cases had only tissue fragments obtained from the CUSA specimen trap been stained. For nine of ten patients, initial tumor cell viability was similar in the two specimen types. Flow cytometric DNA analysis confirmed that surgical methods produced matched samples. Cells that survived high-frequency ultrasound appeared functionally intact. For five of eight patients, the cells from the CUSA specimen traps survived and/or divided to a greater extent than those from the knife-dissected tumors. Cells from both surgical routes attained a similar number of passages in culture. It seems reasonable to extrapolate these in vitro observations with pelvic tumor tissues to normal surrounding tissue left in situ. Thus pelvic tissue is believed to be uninjured by CUSA ultrasonic irradiation. "
7,4,"Continuous extracorporeal fluid removal in children with low cardiac output after cardiac operations. Eleven hypervolemic and oliguric children with low cardiac output after cardiac operations were treated by slow continuous ultrafiltration or continuous arteriovenous hemofiltration. A mean negative fluid balance of 1.63 +/- 0.37 ml/kg/hr (standard error of the mean [SEM]) significantly improved the hemodynamic status within 59 +/- 6.1 hours (SEM). Although the central venous pressure decreased significantly from 15.2 +/- 0.84 to 8.8 +/- 0.92 mm Hg (p less than 0.0001), the mean arterial pressure increased significantly from 41.5 +/- 2.54 to 53.5 +/- 2.21 mm Hg (p less than 0.001). In addition, pH increased significantly from 7.31 +/- 0.01 (SEM) to 7.43 +/- 0.001 (SEM) (p less than 0.001) and oxygenation index (arterial oxygen tension/inspired oxygen fraction) from 119 +/- 15.2 (SEM) to 214 +/- 27.0 (SEM) (p less than 0.001). Hemodynamic improvement during slow continuous extracorporeal fluid removal allowed a significant decrease of the catecholamine infusion rate. After normovolemia had been achieved, continuous arteriovenous hemofiltration had to be continued in four children because of persistent anuria. Eight patients could be weaned from artificial ventilation and vasopressor support. Two patients died without recovery of renal function and one with restored renal function. Slow continuous ultrafiltration and continuous arteriovenous hemofiltration improve the cardiovascular function in children with low cardiac output by optimizing the preload conditions of the failing heart. In addition, they improve acid-base balance and pulmonary gas exchange. "
8,0,"Vasopressin response in collecting ducts of rats resistant to mineralocorticoid hypertension. In previous studies we found that vasopressin stimulation of both cyclic AMP (cAMP) formation in cortical collecting tubules (CCT) and sodium reabsorption in isolated perfused kidneys was markedly exaggerated in rats with mineralocorticoid hypertension. In the present study, we tested the response (cAMP accumulation) of cortical and outer medullary collecting tubules (OMCT) to vasopressin in two rat models that are resistant to deoxycorticosterone acetate (DOCA)-induced hypertension, the Wistar-Furth strain and NaCl-deficient rats. The blood pressure of normal outbred Wistar rats rose to hypertensive levels (systolic pressure more than 165 mm Hg) during a 5-week treatment with DOCA (10 mg/week) and 1% saline to drink. Significant hypertrophy of the heart and kidneys was also observed. Vasopressin (10(-8) M)-induced cAMP formation was enhanced 3.4-fold in the CCT (OMCT unchanged) of hypertensive rats compared with normotensive controls. Significant hypertrophy (as indexed by tubule diameter) of the CCT but not the OMCT was also observed in DOCA-salt hypertensive rats. Restriction of dietary NaCl (0.13% in chow, tap water to drink) completely prevented DOCA-induced hypertension, organ and CCT hypertrophy, and enhancement of vasopressin-stimulated cAMP formation in the CCT. In Wistar-Furth rats, DOCA-salt treatment did not alter blood pressure or cause significant organ hypertrophy. However, DOCA-salt treatment enhanced vasopressin-stimulated cAMP formation by 4.1-fold in CCT of Wistar-Furth rats, with significant tubular hypertrophy in the CCT but not the OMCT. We conclude that DOCA-induced hypertension and changes in CCT function are dependent on excess dietary NaCl. "
9,0,"Closure of refractory perineal Crohn's lesion. Integration of hyperbaric oxygen into case management. A case is reported in which a comprehensive program of hyperbaric oxygen (HBO), surgical debridement and reconstruction, and continuing medical management resulted in complete and sustained closure of an extensive perineal Crohn's lesion refractory to conventional medical and surgical management. It is emphasized that in this case healing occurred in the setting of previous removal of all diseased intestinal tissue and only with the combined use of all three treatment modalities. HBO may be a useful adjunct in the therapy of large nonhealing perineal lesions post-proctocolectomy in patients who are unresponsive to metronidazole or to immunosuppressant therapy or who experience limiting side effects from continued medical therapy. "
