,condition_label,medical_abstract
0,0,"The management of retinal detachments associated with choroidal colobomas by vitreous surgery. We used vitreous surgery to treat seven patients (eight eyes) with complicated retinal detachments associated with choroidal colobomas. All eyes had large choroidal colobomas and no evidence of peripheral retinal breaks. Small, atrophic breaks were detected in five of the eyes and were located in the base of the coloboma in four of the five eyes. Adjunctive surgical techniques were necessary and included cyanoacrylate retinopexy in four eyes, silicone oil tamponade in five eyes, and retinectomy in two eyes. Retinal reattachment was ultimately attained in seven of the eight eyes. The number of surgical procedures ranged from one to five, with an average of three. Postoperative visual acuity of the eyes that underwent anatomically successful procedures ranged from 20/100 to light perception. Proliferative vitreoretinopathy was the most frequent cause of redetachment, occurring in six of the eight eyes. "
1,4,"Forearm blood flow response to posture change in the very old: non-invasive measurement by venous occlusion plethysmography. Little is known about the peripheral vascular response to posture change in very elderly people who are vulnerable to the development of orthostatic hypotension. This is due, in part, to the risks of currently utilized invasive vascular monitoring techniques in the elderly population. We studied the forearm vascular response to active standing in 18 healthy young, 10 healthy old, and 19 impaired elderly subjects, using the non-invasive technique of venous occlusion plethysmography. In six subjects this technique was compared to duplex doppler ultrasonography for the measurement of postural changes in forearm blood flow. Forearm blood flow changes determined by venous occlusion plethysmography were 11% larger than doppler measurements, but the two methods strongly correlated (r = 0.90, P less than .001). Mean forearm vascular resistance increased to a significantly greater extent at 1 minute of standing in young subjects than in both groups of old, although the response was quite variable in all groups. Two healthy elderly (20%) and eight impaired elderly (40%) subjects had unexpected forearm vasodilatation at 1 minute of standing. By 3 minutes, forearm vascular resistance had increased by similar amounts in all three groups of subjects. Five impaired elderly and no healthy young or healthy old subjects had orthostatic hypotension, defined as greater than or equal to 10 mm Hg decline in mean arterial blood pressure at 1 or 3 minutes of standing. Forearm vascular resistance changes did not correlate with blood pressure response to standing. Thus, forearm vascular response to 1 minute of active standing is attenuated in many elderly subjects. This abnormality may impair adaptation to orthostatic stress in advanced age. "
2,0,"The ""natural history"" of segmental wall motion abnormalities in patients undergoing noncardiac surgery. S.P.I. Research Group. Intraoperative segmental wall motion abnormalities (SWMA) detected by transesophageal echocardiography (TEE) are sensitive, but not always specific, markers of myocardial ischemia. To determine their incidence, characteristics, and relation to postoperative cardiac morbidity, we continuously recorded the left ventricular short-axis view and 12-lead ECG in 156 high-risk patients undergoing non-cardiac surgery. Monitoring was clinically blinded. Wall motion was scored at predefined clinical, hemodynamic, and ECG events and at periodic intervals (26 +/- 11 samples per patient). We detected 44 episodes of new or worsened SWMA in 32 patients (20%). The severity of most episodes was limited to severe hypokinesis (24/44, 55%) followed by akinesis (16/44, 36%) and dyskinesis (4/44, 9%). The remaining 124 patients had normal wall motion or only mild hypokinesis (56/156, 36%) or chronic SWMA (68/156, 44%). The incidence of new SWMA did not differ for patients with known coronary artery disease (CAD) and those with cardiac risk factors only (22% vs. 19%, P = not significant), although CAD patients had a significantly greater incidence of chronic SWMA (62% vs. 41%, P = 0.02). The incidence of new or worsened SWMA was significantly greater during aortic vascular surgery (38% vs. 17%, P = 0.05). Approximately 40% of all new TEE changes occurred in the absence of either an apparent clinical event or a significant change in systolic blood pressure or heart rate. Ten patients had new or worsened SWMA persisting until the end of surgery, 8 with new akinesis, only 1 developing myocardial infarction. The distribution of new or worsened SWMA and significant intraoperative ST-T changes (n = 19) in this cohort was discordant: temporal overlap between modalities was present in only 5 patients. Major cardiac complications occurred in 5 patients (3.2%), all of whom underwent peripheral vascularization. All patients with cardiac complications and new or worsened SWMA also had intraoperative or early postoperative ST-T changes. We conclude that: 1) continuous TEE recording with offline analysis in this high-risk group of patients revealed a relatively low incidence of new or worsened SWMA (20%), most episodes of which were characterized by severe hypokinesis (55%); 2) episodes were more common in patients undergoing aortic vascular surgery; 3) approximately 40% of episodes were unaccompanied by clinical events or significant hemodynamic changes; 4) episodes were poorly correlated with postoperative cardiac complications; and 5) the discordant relation between TEE and ECG changes observed here necessitates careful monitoring of the ECG when TEE is used clinically. "
3,4,"Renovascular beta adrenergic hypersensitivity and hyperinsulinemia in rats with dietary-induced obesity. To determine whether obesity alters responsiveness to vasoactive drugs, we compared the cardiovascular effects of angiotensin, phenylephrine and isoproterenol in unanesthetized age-matched control and obese Oscai rats. Obesity was induced by programming pups to overeat immediately after birth and then feeding them a high-fat diet thereafter. Elevations in tail-cuff systolic and mean pressures from 7 through 11 months of age and in plasma insulin at 8 months of age indicated that obese rats had developed borderline hypertension and hyperinsulinemia. Cardiovascular responsiveness was then tested by recording blood pressure, heart rate and renal blood flow from chronically implanted arterial catheters and flow probes while graded doses of the three test drugs were infused intravenously. Heart rate and renal blood flow decreased during pressor responses to angiotensin and phenylephrine and were oppositely increased during depressor responses to isoproterenol. Magnitude of all cardiovascular receptors was dose-dependent. Obese rats had weaker reflex bradycardic responses to angiotensin and phenylephrine than control rats. More importantly, they also had larger renal vasoconstrictor responses to 2 ng/100 g of angiotensin or vasodilator responses to 15 ng/100 of isoproterenol. Whether or not the changes in cardiovascular responsiveness were related to hyperinsulinemia was undetermined. Our results suggest that, in addition to being overweight, slightly hypertensive and hyperinsulinemic, obese Oscai rats have impaired baroreflexes and a renal vascular bed more responsive to beta adrenergic vasodilation. "
4,0,"Round fingerpad sign: an early sign of scleroderma. We describe a clinical skin sign in scleroderma termed round fingerpad sign. This term refers to disappearance of the peaked contour on fingerpads and replacement with a hemisphere-like fingertip contour; this change is especially apparent on the ring fingers. A positive round fingerpad sign was found in 72 of 72 ring fingers in 36 patients with progressive systemic sclerosis in 69 of 72 ring fingers in patients with mixed connective tissue disease, and in 24 of 24 ring fingers of patients with Raynaud's phenomenon and sclerodactyly. In contrast, a negative round fingerpad sign was seen in 240 of 240 fingers in normal women (controls). The high sensitivity of this sign is noteworthy. A positive round fingerpad was seen in sign not only typical scleroderma patients but also in groups with less severe skin sclerosis (i.e., in those patients with mixed connective tissue disease or those with Raynaud's phenomenon and sclerodactyly). The sign is a new and useful clinical marker for the early diagnosis of scleroderma. "
5,1,"Trisomy 13: a new recurring chromosome abnormality in acute leukemia. A new recurring chromosome abnormality was identified in 8 of 621 consecutive successfully karyotyped adults with de novo acute leukemia. These eight patients had trisomy 13 as the sole cytogenetic abnormality. On central morphologic review, five cases were classified as subtypes of acute myeloid leukemia, one as acute mixed lymphoid and myeloid leukemia, one as acute lymphoid leukemia, and one as acute undifferentiated leukemia. Blasts of all eight cases expressed one or more myeloid differentiation antigens. Three also expressed T-lineage-associated antigens; however, none of these had rearrangement of the T-cell receptor beta, gamma, or delta genes. Four of six cases tested were TdT positive. All eight patients with trisomy 13 were treated with intensive induction chemotherapy; only three entered a short-lived complete remission. Survival of patients with trisomy 13 ranged from 0.5 to 14.7 months, and was significantly shorter than that of the remaining patients (median 9.5 v 16.2 months, P = .007). We conclude that trisomy 13 is a rare, recurring clonal chromosome abnormality in acute leukemia associated with a poor prognosis. Malignant transformation of an immature hematopoietic precursor cell is suggested by the expression of antigens characteristic of both the myeloid and lymphoid lineage, the high incidence of TdT positivity, and the morphologic heterogeneity in these leukemias. "
6,4,"Enalapril-associated anemia in renal transplant recipients treated for hypertension. We encountered a renal transplant recipient who developed an unexplained 0.09 decrease in hematocrit value while taking enalapril for hypertension, which reversed when the drug was stopped. This experience, and a previous similar case report, prompted a review of all our 27 transplant patients treated with enalapril. Of these, 10 patients (37%) had developed an otherwise unaccounted for anemia: the pre-enalapril hematocrit value was 0.42 +/- 0.01 and it decreased to the nadir value of 0.33 +/- 0.01 (P less than 0.001) within 12.3 +/- 0.9 weeks after initiation of 9 +/- 2.4 mg of enalapril daily; enalapril was stopped in seven patients and their anemia resolved within 9.1 +/- 0.7 weeks to a final hematocrit value of 0.40 +/- 0.01. The remaining three patients were maintained on enalapril at their physicians' discretion, without further decrease in hematocrit values. No appreciable changes in drug regimens, clinical course, or other laboratory parameters were noted during this period. A causal relationship between enalapril and anemia was suggested by the effect of drug withdrawal and rechallenge on hematocrit in one of the patients. There were no statistically significant differences in baseline clinical and laboratory characteristics between those patients who did (group I) and those who did not (group II) develop enalapril-associated anemia, with the exception of a normal hematocrit value of 0.42 +/- 0.01 in group I versus a lower hematocrit value of 0.36 +/- 0.02 in group II (P less than 0.05). We conclude that enalapril should be considered in the differential diagnosis of anemia following renal transplantation. Susceptibility to this effect might emanate from the immunosuppressed state. "
7,0,"West syndrome associated with hyperlexia. Two patients are reported with West syndrome associated with hyperlexia. They had peculiar linguistic and psychosocial development and autistic behavior, yet began to read Japanese and Chinese characters, numbers, Roman alphabet letters, and trademark letters at 3 years of age. Neuropsychologic, electroencephalographic, and radiologic studies were performed at 11 years of age in Patient 1 and at 10 years of age in Patient 2. Although they were able to read fluently with correct intonation, their comprehension was significantly impaired. The neuropsychologic evaluation of both patients demonstrated selective, excellent ability in auditory memory in contrast to impairment of associational abilities, visual retention, and visual constructional abilities. These findings suggest that the functions in the nondominant hemisphere were also impaired. Although children with West syndrome frequently have associated mental retardation, patients with West syndrome associated with hyperlexia have never been reported. A neuropsychologic investigation of epileptic children with mental retardation is necessary for the detection of hyperlexia. "
8,3,"Role of serum prolactin determination in evaluation of impotent patient. Hyperprolactinemia is a recognized cause of impotence. The discovery of elevated prolactin levels in impotent men is very important since pharmacotherapy in this instance is highly successful. We review our experience with prolactin determinations in impotent men, and a population is defined that may benefit from routine prolactin determination. In our experience, the predominant symptom associated with hyperprolactinemia in men is loss of libido. "
9,4,"Nicotine impairs reflex renal nerve and respiratory activity in deoxycorticosterone acetate-salt rats. Smoking exacerbates the increase in arterial pressure in hypertension. The effect of nicotine on the baroreceptor-mediated reflex responses of renal nerve activity (RNA), heart rate, and respiratory activity (minute diaphragmatic activity [MDA]) after bolus injections of phenylephrine was compared in deoxycorticosterone acetate (DOCA)-salt sensitive and normotensive rats. Osmotic minipumps that dispensed either nicotine (2.4 mg/kg/day) or saline were implanted in DOCA and normotensive rats for 18 days. Anesthetized DOCA-nicotine, DOCA-saline, control-nicotine, and control-saline rats had mean arterial pressures (MAP) of 117 +/- 3, 110 +/- 9, 90 +/- 3, and 89 +/- 5 mm Hg, respectively. Nicotine decreased the sensitivity (p less than 0.05) of baroreceptor reflex control of RNA (% delta RNA/delta MAP) in the DOCA-nicotine rats (-0.92 +/- 0.08) compared with the DOCA-saline (-1.44 +/- 0.16), control-nicotine (-1.45 +/- 0.08), or control-saline (-1.45 +/- 0.21) rats. The reflex decrease in respiratory activity (% delta MDA/delta MAP x 100) was impaired (p less than 0.01) in both control-nicotine (-24.5 +/- 3.3) and DOCA-nicotine (-18.2 +/- 4.6) rats compared with control-saline (-59.2 +/- 9.1) and DOCA-saline (-52.5 +/- 9.9) rats. The reflex decrease in heart rate (absolute delta HR/delta MAP) in both DOCA-nicotine (1.56 +/- 0.17) and control-nicotine (1.54 +/- 0.24) rats was augmented compared with DOCA-saline and control-saline rats (0.91 +/- 0.12 and 0.97 +/- 0.14). "
