,condition_label,medical_abstract
0,4,"Relation of cardiac output at rest and during exercise to age in essential hypertension. It has been suggested that the decline of cardiac output with age is due to increased prevalence of disease, particularly occult coronary artery disease. Therefore, the relation of cardiac output (direct oxygen Fick method) to age was analyzed in 110 sixteen- to 64-year-old men with World Health Organization stage I or II essential hypertension at the time of the hemodynamic study, who were alive and free of cardiovascular complications 7 years later. At supine and seated rest, during upright bicycle exercise at 50 W and and at peak work load, cardiac output was inversely (p less than 0.01) related to age. These relations were independent of weight and mean intraarterial pressure. Stroke volume decreased with advancing age at supine rest, but not at rest and during exercise in the seated position. Heart rate was not affected by age in the supine position, but was slower in older patients during upright rest and at peak exercise. In conclusion, in patients with essential hypertension who remained free of cardiovascular complications for 7 years, cardiac output was independently and inversely related to age at various levels of activity. These findings suggest that occult cardiovascular disease does not explain the decline in cardiac output with age in patients with essential hypertension. "
1,3,"Embolism of cerebral tissue: a cause of coagulopathy and cerebral infarction? Report of a case. We report a case of potentially survivable closed head injury, which was complicated by disseminated intravascular coagulation and bilateral cerebral infarction. Autopsy disclosed pulmonary emboli composed of cerebral tissue. We suggest that the entry of brain tissue into the systemic blood circulation caused severe disseminated intravascular coagulation, with consequent thrombosis of cerebral veins and spreading infarction. "
2,1,"Preoperative cell-mediated immune function and the prognosis of patients with gastric carcinoma. The cell-mediated immune function of 83 patients with gastric carcinoma was assessed preoperatively and the results were compared to that of 52 patients with benign lesions. The data were subjected to an analysis in order to evaluate their prognostic significance. The abilities to induce allogeneic cytotoxicity and to produce interleukin 2 (IL2) in patients with stage IV carcinoma were significantly depressed, as compared to those in patients with benign lesions, whereas natural killer (NK) cell activity was not significantly impaired. There was no significant correlation among these immune functions. When the patients were stratified into two groups, those who had high (greater than the mean value in patients with benign lesions) and low (less than the same value) values of these immune reactivities, the survival of patients with high NK activity (greater than or equal to 43%) was significantly better, as compared to that of patients with low cytotoxicity (less than 43%). However, there was no correlation between the survival and allogeneic cytotoxicity in these patients. The high ability to produce IL2 (greater than or equal to 1.3 U/ml) correlated with the better survival in the patients, but not in the group of patients who underwent curative resection. "
3,3,"An immunofluorescence study of cerebral malaria. A correlation with histopathology. Histopathologic and immunopathologic features of cerebral malaria have been defined in a study of six autopsy cases with severe Plasmodium falciparum infection. In five cases, immunofluorescent studies demonstrated intense deposition of P falciparum antigen, IgG, and fibrin in cerebral vessels associated with the histopathologic finding of hemorrhage in the white matter of cerebrum and cerebellum regardless of the presence of parasitized erythrocytes in the cerebral vessels. Immunofluorescent study also demonstrated the extravascular deposits of P falciparum granular antigen associated with acute inflammatory lesion in cerebral tissue in one case. These findings suggested that the immunopathogenic mechanism may in some way play a role in the pathogenesis of cerebral malaria. "
4,0,"Identification, prevention, and treatment of silicone oil pupillary block after an inferior iridectomy. We treated two patients in whom silicone oil pupillary block developed despite a patent inferior iridectomy. The clinical characteristics of this complication were a deep anterior chamber, specular reflexes from the iris surface, identification by biomicroscopy of aqueous trapped inferiorly in the vitreous cavity, and no convection currents in the anterior chamber. This complication may be prevented by early face-down positioning of the patient after the operation, and the avoidance of large, centrally located, inferior iridectomies. We recommend that the iridectomy be placed peripherally no larger than 2 mm and propose a new technique for breaking the silicone oil block, which was clearly successful in one of the patients. "
5,3,"Treatment of intractable arterial hemorrhage during stereotactic brain biopsy with thrombin. Report of three patients. Of 165 consecutive patients undergoing computerized tomography- or magnetic resonance imaging-guided stereotactic brain biopsies at the Cleveland Clinic between June, 1987, and November, 1989, four patients (2.4%) developed arterial hemorrhage refractory to conventional efforts to secure hemostasis. Craniotomy was performed in one of these patients to control the hemorrhage; in the other three, 0.5 to 2 cc of thrombin (5000 U/cc) was slowly injected via the biopsy cannula, resulting in immediate control of bleeding in all three cases. Postoperatively, the first two patients treated with 1 to 2 cc of thrombin were slow to awaken; one had evidence of vasospasm by transcranial Doppler ultrasound studies and multiple infarcts on cranial computerized tomography, while the other had a moderate-sized frontal hematoma with intracranial hypertension. After prolonged recovery periods, only mild neurological deficits persisted in both patients. The third patient, treated with 0.5 cc of thrombin, had an uneventful postoperative course. Thrombin is highly effective for stopping intractable arterial hemorrhage during stereotactic brain biopsy; however, it is a vasospastic agent and may have been responsible for the cerebral infarctions in one patient. Therefore, thrombin should be used only as a last resort, short of craniotomy, to control intractable arterial hemorrhage during stereotactic brain biopsy. "
6,1,"The contribution of routine follow-up mammography to an early detection of asynchronous contralateral breast cancer. The role of routine mammography was assessed in the early detection of asynchronous contralateral breast cancer (ACBC). The breast cancer patient populations of two cities, Nijmegen and Eindhoven, The Netherlands, which were subjected to a well-defined follow-up program, were compared. The program consisted of regular physical examination and annual mammography in Nijmegen and physical examination only in Eindhoven. From 1975 until 1987, 24 ACBC patients were detected within a group of 880 breast cancer patients in Nijmegen (3%) and, from 1971 until 1984, 14 ACBC patients within a group of 411 patients in Eindhoven (3%). In Nijmegen, eight of the 23 evaluable patients (35%) had a contralateral tumor with a histologic size smaller than 10 mm or an in situ carcinoma, compared with one of the 14 of the Eindhoven patients (7%), whereas 18 of the 24 (75%) versus eight of the 14 patients (57%) were node-negative. Thus annual mammography is very likely a contribution in the early detection of contralateral breast cancer as compared with follow-up by regular physical examination only. "
7,0,"Effect of indecainide in patients with left ventricular dysfunction. Indecainide, a new antiarrhythmic agent classified as type Ic was evaluated in 11 patients with heart disease who had greater than or equal to 30 ventricular premature complexes/hour, moderate-to-marked left ventricular dysfunction, and mean ejection fraction 34% +/- 8%. Patients received indecainide, 50 mg by mouth, every 6 hours and the dose was increased until greater than or equal to 80% suppression was noted, adverse effects occurred, or a maximum dose of 100 mg indecainide was given every 6 hours. Ventricular premature complexes were suppressed greater than or equal to 80% in nine patients (p less than 0.05) and ventricular tachycardia episodes were completely suppressed in five of eight patients. The effective or maximal mean daily indecainide dose was 191 +/- 32 mg; half of the responders achieved achieved efficacy at serum drug concentration greater than or equal to 600 ng/ml. Serum drug concentration was directly related to gender (r = 0.78, p less than 0.04) and inversely related to creatinine clearance (r = 0.74, p less than 0.05) and ejection fraction (r = 0.71, p less than 0.02). Indecainide prolonged mean PR and QRS intervals (p less than 0.05) but not QT or QTc. There was a linear relation between percent change in PR (r = 0.80, p less than 0.001) and QRS (r = 0.66, p less than 0.001) intervals and serum drug concentration. After starting or increasing the dose, careful observation of patients with decreased renal function or reduced ejection fraction should be exercised because they attain higher drug concentration than normal subjects. "
8,4,"The addition of doxazosin to the treatment regimen of patients with hypertension not adequately controlled by beta-blockers. When doxazosin was given to patients with hypertension not adequately controlled by beta-blockade, blood pressure was normalized in 94% of the 34 patients (blood pressure less than or equal to 140/85 mm Hg). This reduction in blood pressure was obtained with doxazosin in combination with metoprolol or oxprenolol at a mean final daily dose of 1.3 mg or pindolol or atenolol at 2.0 mg/day. Exercise-induced increase in systolic and diastolic blood pressure was also lower with combined beta-blocker and doxazosin therapy than with beta-blocker alone. After 12 weeks of treatment, the combination of doxazosin and beta-blocker significantly reduced total serum cholesterol and triglyceride levels. All side effects were mild and only one patient was withdrawn from therapy. "
9,3,"Vigabatrin: rational treatment for chronic epilepsy. Vigabatrin is a selective, irreversible suicide inhibitor of GABA transaminase and thus increases brain and CSF GABA. In 33 adult patients with long standing refractory epilepsy on treatment with one or two standard anti-convulsant drugs, the addition of vigabatrin up to 3g daily for eight weeks was associated with a 48.2% reduction in seizure frequency. Twenty patients who had exhibited a 50% or more reduction in frequency of one or more seizure types entered an eight week double-blind placebo controlled phase. Patients on vigabatrin maintained a 54.7% reduction of seizure frequency, whereas those on placebo showed an 18.6% increase in seizure frequency, a highly significant difference between the two groups. In the open phase, seven patients were withdrawn due to unacceptable and reversible adverse events. The commonest side effects were drowsiness, depression and mood instability, and headaches. Vigabatrin is a potentially valuable new treatment for chronic epilepsy, especially partial seizures with or without secondary generalisation. "
